2019-05-06,00:03:07,184,3.07,699.106,6.64391,2
2019-05-06,00:03:09,186,3.10,706.959,6.59503,2
2019-05-06,00:03:11,188,3.13,711.814,6.52627,2
2019-05-06,00:03:13,190,3.17,719.421,6.51702,2
2019-05-06,00:03:15,192,3.20,741.424,6.31934,2
2019-05-06,00:03:17,194,3.23,757.22,6.15234,2
2019-05-06,00:03:19,196,3.27,778.433,5.95193,2
2019-05-06,00:03:21,198,3.30,801.883,5.78086,2
2019-05-06,00:03:23,200,3.33,829.084,5.6273,2
2019-05-06,00:03:25,202,3.37,853.811,5.49588,2
2019-05-06,00:03:27,204,3.40,884.704,5.35315,2
2019-05-06,00:03:29,206,3.43,911.388,5.21492,2
2019-05-06,00:03:31,208,3.47,943.188,5.09752,2
2019-05-06,00:03:33,210,3.50,972.379,4.97799,2
2019-05-06,00:03:35,212,3.53,984.937,4.97189,2
2019-05-06,00:03:37,214,3.57,1011.51,4.94042,2
2019-05-06,00:03:39,216,3.60,1027.77,4.93993,2
2019-05-06,00:03:41,218,3.63,1043.36,4.92677,2
2019-05-06,00:03:43,220,3.67,1057.4,4.92278,2
2019-05-06,00:03:45,222,3.70,1073.7,4.92554,2
2019-05-06,00:03:47,224,3.73,1087.29,4.92489,2
2019-05-06,00:03:49,226,3.77,1106.42,4.92869,2
2019-05-06,00:03:51,228,3.80,1123.56,4.93671,2
2019-05-06,00:03:53,230,3.83,1139.13,4.93295,2
2019-05-06,00:03:55,232,3.87,1147.86,4.92627,2
2019-05-06,00:03:57,234,3.90,1149.38,4.92948,2
2019-05-06,00:03:59,236,3.93,1147.92,4.92824,2
2019-05-06,00:04:01,238,3.97,1150.18,4.92471,2
2019-05-06,00:04:03,240,4.00,1154.42,4.92038,2
2019-05-06,00:04:05,242,4.03,1158.92,4.91993,2
2019-05-06,00:04:07,244,4.07,1157.32,4.93044,2
2019-05-06,00:04:09,246,4.10,1155.92,4.93217,2
2019-05-06,00:04:11,248,4.13,1161.69,4.92571,2
2019-05-06,00:04:13,250,4.17,1161.52,4.90315,2
2019-05-06,00:04:15,252,4.20,1173.16,4.91121,2
2019-05-06,00:04:17,254,4.23,1183.98,4.8977,2
2019-05-06,00:04:19,256,4.27,1204.28,4.89127,2
2019-05-06,00:04:21,258,4.30,1221.21,4.88981,2
2019-05-06,00:04:23,260,4.33,1235.78,4.87406,2
2019-05-06,00:04:25,262,4.37,1245.8,4.85471,2
2019-05-06,00:04:27,264,4.40,1267,4.84672,2
2019-05-06,00:04:29,266,4.43,1276.91,4.83959,2
2019-05-06,00:04:31,268,4.47,1283.36,4.83923,2
2019-05-06,00:04:33,270,4.50,1295.88,4.84335,2
2019-05-06,00:04:35,272,4.53,1309.61,4.83078,2
2019-05-06,00:04:37,274,4.57,1320.51,4.83644,2
2019-05-06,00:04:39,276,4.60,1327.15,4.83326,2
2019-05-06,00:04:41,278,4.63,1336.45,4.84347,2
2019-05-06,00:04:44,280,4.67,1351.85,4.85554,2
2019-05-06,00:04:46,282,4.70,1362.93,4.85679,2
2019-05-06,00:04:48,284,4.73,1364.24,4.8613,2
2019-05-06,00:04:50,286,4.77,1387.94,4.85364,2
2019-05-06,00:04:52,288,4.80,1404.37,4.84414,2
2019-05-06,00:04:54,290,4.83,1423.66,4.85124,2
2019-05-06,00:04:56,292,4.87,1432.45,4.84558,2
2019-05-06,00:04:58,294,4.90,1454.62,4.85698,2
2019-05-06,00:05:00,296,4.93,1477.45,4.85605,2
2019-05-06,00:05:02,298,4.97,1509.07,4.84777,2
2019-05-06,00:05:04,300,5.00,1533.32,4.85795,2
2019-05-06,00:05:06,302,5.03,1558.4,4.86496,2
2019-05-06,00:05:08,304,5.07,1593.74,4.86657,2
2019-05-06,00:05:10,306,5.10,1615.17,4.87861,2
2019-05-06,00:05:12,308,5.13,1644.1,4.89616,2
2019-05-06,00:05:14,310,5.17,1671.19,4.8932,2
2019-05-06,00:05:16,312,5.20,1709.11,4.90524,2
2019-05-06,00:05:18,314,5.23,1727.66,4.91216,2
2019-05-06,00:05:20,316,5.27,1759.89,4.92759,2
2019-05-06,00:05:22,318,5.30,1782.38,4.93773,2
2019-05-06,00:05:24,320,5.33,1794.11,4.94802,2
2019-05-06,00:05:26,322,5.37,1819.41,4.95338,2
2019-05-06,00:05:28,324,5.40,1832.42,4.95961,2
2019-05-06,00:05:30,326,5.43,1841.97,4.95741,2
2019-05-06,00:05:32,328,5.47,1855.74,4.96722,2
2019-05-06,00:05:34,330,5.50,1869.34,4.97139,2
2019-05-06,00:05:36,332,5.53,1875.85,4.96297,2
2019-05-06,00:05:38,334,5.57,1891.43,4.96455,2
2019-05-06,00:05:40,336,5.60,1899.55,4.95979,2
2019-05-06,00:05:42,338,5.63,1899.01,4.95946,2
2019-05-06,00:05:44,340,5.67,1910.17,4.95568,2
2019-05-06,00:05:46,342,5.70,1915.41,4.96796,2
2019-05-06,00:05:48,344,5.73,1934.08,4.9609,2
2019-05-06,00:05:50,346,5.77,1954.31,4.97304,2
2019-05-06,00:05:52,348,5.80,1969.15,4.95749,2
2019-05-06,00:05:54,350,5.83,1974.3,4.97047,2
2019-05-06,00:05:56,352,5.87,1981.25,4.98101,2
2019-05-06,00:05:58,354,5.90,1987.28,4.98351,2
2019-05-06,00:06:00,356,5.93,1987.88,4.99092,2
2019-05-06,00:06:02,358,5.97,1998.55,5.00051,2
2019-05-06,00:06:04,360,6.00,2010.73,5.01038,2
